Clave de AGEE,Nombre de AGEE,Nombre Abreviado de AGEE,State (English),Capital (English),Website,Website del Poder Judicial,Población,Última actualización
1,Aguascalientes,Ags.,Aguascalientes,Aguascalientes City,https://www.aguascalientes.gob.mx/,https://www.poderjudicialags.gob.mx/,1465000,2023-07-18
2,Baja California,BC,Baja California,Mexicali,https://www.bajacalifornia.gob.mx/,https://www.pjbc.gob.mx/,3822000,2023-07-18
3,Baja California Sur,BCS,Baja California Sur,La Paz,https://www.bcs.gob.mx/,https://www.tribunalbcs.gob.mx/,759000,2023-07-18
4,Campeche,Camp.,Campeche,San Francisco de Campeche,https://www.campeche.gob.mx/,https://www.poderjudicialcampeche.gob.mx/,965000,2023-07-18
5,Coahuila de Zaragoza,Coah.,Coahuila de Zaragoza,Saltillo,https://www.coahuila.gob.mx/,https://www.stje.gob.mx/,3189000,2023-07-18
6,Colima,Col.,Colima,Colima City,https://www.colima.gob.mx/,http://stjcolima.gob.mx/,830000,2023-07-18
7,Chiapas,Chis.,Chiapas,Tuxtla Gutiérrez,https://www.chiapas.gob.mx/,https://www.poderjudicialchiapas.gob.mx/,5602000,2023-07-18
8,Chihuahua,Chih.,Chihuahua,Chihuahua City,https://www.chihuahua.gob.mx/,https://www.pjchihuahua.gob.mx/,3806000,2023-07-18
9,Ciudad de México,CDMX,Mexico City,Mexico City (Federal District),http://cdmx.gob.mx/,https://www.poderjudicialcdmx.gob.mx/,9305000,2023-07-18
10,Durango,Dgo.,Durango,Victoria de Durango,https://www.durango.gob.mx/,http://www.stjedgo.gob.mx/,1846000,2023-07-18
11,Guanajuato,Gto.,Guanajuato,Guanajuato City,https://www.guanajuato.gob.mx/,http://www.poderjudicial-gto.gob.mx/,6205000,2023-07-18
12,Guerrero,Gro.,Guerrero,Chilpancingo de los Bravo,https://www.guerrero.gob.mx/,http://tsjgro.gob.mx/,3556000,2023-07-18
13,Hidalgo,Hgo.,Hidalgo,Pachuca de Soto,https://www.hidalgo.gob.mx/,http://www.poderjudicialhidalgo.gob.mx/,3115000,2023-07-18
14,Jalisco,Jal.,Jalisco,Guadalajara,https://www.jalisco.gob.mx/,http://stjjalisco.gob.mx/,8400000,2023-07-18
15,México,Mex.,México,Toluca de Lerdo,https://edomex.gob.mx/,http://sjf.edomex.gob.mx/,17102000,2023-07-18
16,Michoacán de Ocampo,Mich.,Michoacán de Ocampo,Morelia,http://michoacan.gob.mx/,http://www.stjemichoacan.gob.mx/,4736000,2023-07-18
17,Morelos,Mor.,Morelos,Cuernavaca,http://morelos.gob.mx/,http://stj.morelos.gob.mx/,2015000,2023-07-18
18,Nayarit,Nay.,Nayarit,Tepic,http://nayarit.gob.mx/,http://www.tsjnay.gob.mx/,1285000,2023-07-18
19,Nuevo León,NL,Nuevo León,Monterrey,http://www.nl.gob.mx/,http://www.pjenl.gob.mx/,5663000,2023-07-18
20,Oaxaca,Oax.,Oaxaca,Oaxaca City,http://www.oaxaca.gob.mx/,http://tsjoaxaca.gob.mx/,4132000,2023-07-18
21,Puebla,Pue.,Puebla,Puebla City,http://puebla.gob.mx/,https://htsjpuebla.gob.mx/,6583000,2023-07-18
22,Querétaro,Qro.,Querétaro,Santiago de Querétaro,http://queretaro.gob.mx/,https://www.tribunalqro.gob.mx/,2278000,2023-07-18
23,Quintana Roo,Q. Roo,Quintana Roo,Chetumal,http://qroo.gob.mx/,https://poderjudicialqr.gob.mx/,1857000,2023-07-18
24,San Luis Potosí,SLP,San Luis Potosí,San Luis Potosí City,http://sanluispotosi.gob.mx/,https://stjslp.gob.mx/,2822000,2023-07-18
25,Sinaloa,Sin.,Sinaloa,Culiacán Rosales,http://sinaloa.gob.mx/,https://stasinaloa.gob.mx/,3026000,2023-07-18
26,Sonora,Son.,Sonora,Hermosillo,http://sonora.gob.mx/,http://stjsonora.gob.mx/,3074000,2023-07-18
27,Tabasco,Tab.,Tabasco,Villahermosa,http://tabasco.gob.mx/,http://tsj-tabasco.gob.mx/,2402000,2023-07-18
28,Tamaulipas,Tamps.,Tamaulipas,Ciudad Victoria,http://tamaulipas.gob.mx/,http://www.stje-tamaulipas.org.mx/,3527000,2023-07-18
29,Tlaxcala,Tlax.,Tlaxcala,Tlaxcala City,http://tlaxcala.gob.mx/,http://www.tstje-tlaxcala.org.mx/,1342000,2023-07-18
30,Veracruz de Ignacio de la Llave,Ver.,Veracruz,Xalapa-Enríquez,http://veracruz.gob.mx/,http://poderjudicialveracruz.gob.mx/,8112000,2023-07-18
31,Yucatán,Yuc.,Yucatán,Mérida,http://yucatan.gob.mx/,http://tsjyucatan.com/web/index.php,2205000,2023-07-18
32,Zacatecas,Zac.,Zacatecas,Zacatecas City,http://zacatecas.gob.mx/,http://tsjez.org.mx/web/index.php,1622000,2023-07-18
